neg,neu,pos,compound,headline
0.0,1.0,0.0,0.0,Wall Street's 2025 outlook for stocks
0.0,0.886,0.114,0.2023,How Trump's policies could lead to a resurgence of industrial stocks: Top picks for 2025
0.0,1.0,0.0,0.0,Analysts reset GitLab stock price target after earnings
0.0,0.769,0.231,0.2023,5 top stock market themes for 2025
0.0,1.0,0.0,0.0,Why Apple has little to do with these 2 rocking telecom stocks
0.252,0.748,0.0,-0.4019,"Yuan, Euro Slump Points to Losses for Emerging-Market Currencies"
0.0,1.0,0.0,0.0,"1 Stock to Buy, 1 Stock to Sell This Week: Oracle, AutoZone"
0.0,1.0,0.0,0.0,Analysts update Asana stock price target after earnings
0.0,1.0,0.0,0.0,Jefferies Predicts Up to ~1000% Surge for These 2 ‘Strong Buy’ Stocks
0.0,0.741,0.259,0.6369,"Money market account rates today, December 8, 2024 (best account provides 5.00% APY)"
0.0,1.0,0.0,0.0,What To Expect in the Markets This Week
0.0,1.0,0.0,0.0,"Costco, Oracle, GameStop, and more stocks to watch this week"
0.254,0.574,0.172,-0.25,Reefer market tightens: Rising tender rejections signal shifting dynamics
0.0,1.0,0.0,0.0,Cathie Wood sells $5 million of surging tech stock
0.0,1.0,0.0,0.0,"OPEC’s market power is ‘less than you would imagine’ and the US doesn’t need to get fussed over the cartel, State Dept. official says"
0.0,1.0,0.0,0.0,A longtime stock market bear is rethinking his view after this year's dizzying rally
0.0,0.893,0.107,0.2023,SpaceX and Palantir now have bigger valuations than top aerospace-defense stocks as the military eyes transformation
0.0,0.726,0.274,0.5267,How AT&T Stock (NYSE:T) Is Back to Its Winning Ways
0.412,0.438,0.15,-0.6369,Wall Street Fixer Bisignano Eyes Worst Mess Yet: Social Security
0.15,0.85,0.0,-0.4588,"Billionaires have been beating the stock market — where they are putting their money now, according to UBS"
0.182,0.818,0.0,-0.4404,"The next S&P 500 shake-up could usher in Coinbase, Block, or these other stocks"
0.308,0.692,0.0,-0.5994,Wall Street isn’t worried about a stock-market crash. That’s why you should be.
0.0,1.0,0.0,0.0,"10 fast-growing software stocks to watch in 2025, including the runaway Palantir"
0.0,1.0,0.0,0.0,"The housing market should pick up next year, but the path looks choppy"
0.0,1.0,0.0,0.0,UnitedHealth Backlash Signals Possible Shift in Washington and on Wall Street
0.0,1.0,0.0,0.0,CONX Enhances Market Position with Strategic Acquisition
0.0,1.0,0.0,0.0,Dwayne 'The Rock' Johnson says he used to wrestle for $40 in flea markets — now he's one of the world's top-paid actors
0.0,1.0,0.0,0.0,RBC Picks 2 Utility Stocks Powering the Data Center Revolution
0.0,1.0,0.0,0.0,The hidden genius in two of Wall Street's 2025 calls: Chart of the Week
0.0,0.741,0.259,0.6369,"Money market account rates today, December 7, 2024 (best account provides 5.00% APY)"
0.0,1.0,0.0,0.0,Prologis downgraded to Underperform from Market Perform at BMO Capital
0.451,0.549,0.0,-0.8126,French Stock Pain Set to Continue After Worst Year Since 2010
0.0,0.811,0.189,0.5423,Stock market today: S&P 500 ends at record high as November jobs data fuels investor optimism
0.0,0.798,0.202,0.5129,"The Fed shouldn't cut rates as inflation is rising, markets are too frothy, JPMorgan Asset Management bond expert says"
0.0,0.781,0.219,0.4939,"Nvidia could deliver a big surprise to Wall Street that would 'power up' its profitability, analyst says"
0.151,0.504,0.345,0.4019,Prospect Capital’s Private Credit Fund Cut to Junk by S&P
0.0,1.0,0.0,0.0,"Trillion-Dollar Gap Shows Diverging Korea, Taiwan Stock Fortunes"
0.0,0.804,0.196,0.296,Apollo and Workday to Join S&P 500 After Index Rebalancing
0.0,0.761,0.239,0.296,"Apollo Global Management, Workday to Join S&P 500"
0.0,1.0,0.0,0.0,Stock market today: Indexes rise as rate-cut odds edge up after jobs report
0.0,1.0,0.0,0.0,ETFs Pull in $1T YTD for First Time Amid Market Leap
0.137,0.457,0.406,0.6486,S&P 500 Gains and Losses Today: Lululemon Stock Soars on Bright Holiday Outlook
0.0,1.0,0.0,0.0,"S&P 500, Nasdaq Close at Record Highs After Jobs Report"
0.0,0.825,0.175,0.1779,Stocks Extend Record-Breaking Run After Jobs Data: Markets Wrap
0.203,0.654,0.144,-0.2263,Bill Gross Is On the Alert as Momentum Mania Sweeps Wall Street
0.0,0.634,0.366,0.6369,Lululemon stock rises on profit beat as company boosts full-year outlook
0.154,0.671,0.174,0.0772,Intel’s Lack of a Clear Plan Makes Wall Street Even More Bearish
0.0,1.0,0.0,0.0,Fontainebleau Miami Beach Borrows $975 Million in Bond Market
